Ticker,Date/Time,Close,Trend_MACD_RSI,Trend_MACD_SIGNAL
SPY,11/07/2019,299.31,3.00,3.00
SPY,12/07/2019,300.65,3.00,3.00
SPY,15/07/2019,300.75,3.00,3.00
SPY,16/07/2019,299.78,3.00,3.00
SPY,17/07/2019,297.74,3.00,3.00
SPY,18/07/2019,298.83,3.00,3.00
SPY,19/07/2019,297.17,3.00,3.00
SPY,22/07/2019,297.90,3.00,3.00
SPY,23/07/2019,300.03,3.00,3.00
SPY,24/07/2019,301.44,3.00,3.00
SPY,25/07/2019,300.00,3.00,3.00
SPY,26/07/2019,302.01,3.00,3.00
SPY,29/07/2019,301.46,3.00,3.00
SPY,30/07/2019,300.72,3.00,3.00
SPY,31/07/2019,297.43,3.00,3.00
SPY,01/08/2019,294.84,3.00,3.00
SPY,02/08/2019,292.62,2.00,3.00
SPY,05/08/2019,283.82,1.00,2.00
SPY,06/08/2019,287.80,1.00,2.00
SPY,07/08/2019,287.97,1.00,2.00
SPY,08/08/2019,293.62,1.00,2.00
SPY,09/08/2019,291.62,1.00,1.00
SPY,12/08/2019,288.07,1.00,1.00
SPY,13/08/2019,292.55,1.00,1.00
SPY,14/08/2019,283.90,1.00,1.00
SPY,15/08/2019,284.65,1.00,1.00
SPY,16/08/2019,288.85,1.00,1.00
SPY,19/08/2019,292.33,1.00,1.00
SPY,20/08/2019,290.09,1.00,1.00
SPY,21/08/2019,292.45,1.00,1.00
SPY,22/08/2019,292.36,1.00,1.00
SPY,23/08/2019,284.85,1.00,1.00
SPY,26/08/2019,288.00,1.00,1.00
SPY,27/08/2019,286.87,1.00,1.00
SPY,28/08/2019,288.89,1.00,1.00
SPY,29/08/2019,292.58,1.00,1.00
SPY,30/08/2019,292.45,1.00,1.00
SPY,03/09/2019,290.74,1.00,1.00
SPY,04/09/2019,294.04,2.00,1.00
SPY,05/09/2019,297.82,3.00,2.00
SPY,06/09/2019,298.05,3.00,2.00
SPY,09/09/2019,298.20,3.00,2.00
SPY,10/09/2019,298.13,3.00,2.00
SPY,11/09/2019,300.25,3.00,3.00
SPY,12/09/2019,301.29,3.00,3.00
SPY,13/09/2019,301.09,3.00,3.00
SPY,16/09/2019,300.16,3.00,3.00
SPY,17/09/2019,300.92,3.00,3.00
SPY,18/09/2019,301.10,3.00,3.00
SPY,19/09/2019,301.08,3.00,3.00
SPY,20/09/2019,298.28,3.00,3.00
SPY,23/09/2019,298.21,3.00,3.00
SPY,24/09/2019,295.87,3.00,3.00
SPY,25/09/2019,297.62,3.00,3.00
SPY,26/09/2019,297.00,3.00,3.00
SPY,27/09/2019,295.40,2.00,3.00
SPY,30/09/2019,296.77,2.00,3.00
SPY,01/10/2019,293.24,2.00,3.00
