Ticker,Date/Time,close,roc
SET,30/12/2014,1497.67,-6.04
SET,30/01/2015,1581.25,5.58
SET,27/02/2015,1587.01,0.36
SET,31/03/2015,1505.94,-5.11
SET,30/04/2015,1526.74,1.38
SET,29/05/2015,1496.05,-2.01
SET,30/06/2015,1504.55,0.57
SET,31/07/2015,1440.12,-4.28
SET,31/08/2015,1382.41,-4.01
SET,30/09/2015,1349.00,-2.42
SET,30/10/2015,1394.94,3.41
SET,30/11/2015,1359.70,-2.53
SET,30/12/2015,1288.02,-5.27
SET,29/01/2016,1300.98,1.01
SET,29/02/2016,1332.37,2.41
SET,31/03/2016,1407.70,5.65
SET,29/04/2016,1404.61,-0.22
SET,31/05/2016,1424.28,1.40
SET,30/06/2016,1444.99,1.45
SET,29/07/2016,1524.07,5.47
SET,31/08/2016,1548.44,1.60
SET,30/09/2016,1483.21,-4.21
SET,31/10/2016,1495.72,0.84
SET,30/11/2016,1510.24,0.97
SET,30/12/2016,1542.94,2.17
SET,31/01/2017,1577.31,2.23
SET,28/02/2017,1559.56,-1.13
SET,31/03/2017,1575.11,1.00
SET,28/04/2017,1566.32,-0.56
SET,31/05/2017,1561.66,-0.30
SET,30/06/2017,1574.74,0.84
SET,31/07/2017,1576.08,0.09
SET,31/08/2017,1616.16,2.54
SET,29/09/2017,1673.16,3.53
SET,31/10/2017,1721.37,2.88
SET,30/11/2017,1697.39,-1.39
SET,29/12/2017,1753.71,3.32
SET,31/01/2018,1826.86,4.17
SET,28/02/2018,1830.13,0.18
SET,30/03/2018,1776.26,-2.94
SET,30/04/2018,1780.11,0.22
SET,31/05/2018,1726.97,-2.99
SET,29/06/2018,1595.58,-7.61
SET,31/07/2018,1701.79,6.66
SET,31/08/2018,1721.58,1.16
SET,28/09/2018,1756.41,2.02
SET,31/10/2018,1669.09,-4.97
SET,30/11/2018,1641.80,-1.64
SET,28/12/2018,1563.88,-4.75
SET,31/01/2019,1641.73,4.98
SET,28/02/2019,1653.48,0.72
SET,29/03/2019,1638.65,-0.90
SET,30/04/2019,1673.52,2.13
SET,31/05/2019,1620.22,-3.18
SET,28/06/2019,1730.34,6.80
SET,31/07/2019,1711.97,-1.06
SET,30/08/2019,1654.92,-3.33
SET,30/09/2019,1637.22,-1.07
SET,31/10/2019,1601.49,-2.18
SET,29/11/2019,1590.59,-0.68
SET,30/12/2019,1579.84,-0.68
SET,31/01/2020,1514.14,-4.16
SET,28/02/2020,1340.52,-11.47
SET,31/03/2020,1125.86,-16.01
SET,30/04/2020,1301.66,15.61
SET,29/05/2020,1342.85,3.16
SET,30/06/2020,1339.03,-0.28
SET,31/07/2020,1328.53,-0.78
SET,31/08/2020,1310.66,-1.35
SET,30/09/2020,1237.04,-5.62
SET,30/10/2020,1194.95,-3.40
SET,30/11/2020,1408.31,17.86
SET,30/12/2020,1449.35,2.91
SET,29/01/2021,1466.98,1.22
SET,25/02/2021,1496.78,2.03
SET,31/03/2021,1587.21,6.04
SET,30/04/2021,1583.13,-0.26
SET,31/05/2021,1593.59,0.66
SET,30/06/2021,1587.79,-0.36
SET,30/07/2021,1521.92,-4.15
SET,31/08/2021,1638.75,7.68
SET,30/09/2021,1605.68,-2.02
SET,29/10/2021,1623.43,1.11
SET,30/11/2021,1568.69,-3.37
SET,30/12/2021,1657.62,5.67
SET,31/01/2022,1648.81,-0.53
SET,28/02/2022,1685.18,2.21
SET,31/03/2022,1695.24,0.60
SET,29/04/2022,1667.44,-1.64
SET,31/05/2022,1663.41,-0.24
SET,30/06/2022,1568.33,-5.72
SET,27/07/2022,1576.41,0.52
SET,31/08/2022,1638.93,3.97
SET,30/09/2022,1589.51,-3.02
SET,31/10/2022,1608.76,1.21
SET,30/11/2022,1635.36,1.65
SET,28/12/2022,1647.28,0.73
